"","Rep","Treat","Clone","E.Clone","Row","Col","ID","sap_init_height","sap_init_diam","sap_final_height","sap_final_diam","tree_final_height","tree_final_DBH","height_growth","diam_growth"
"1703","3","3","216","","21","G","3613",32,0.4,86,0.87,848,5.61,847.13,4.74
"1704","3","3","271","","22","G","3614",45,0.48,105,0.93,765,5.64,764.07,4.71
"1706","3","3","216","","24","H","3630",36,0.44,85,0.82,567,3.52,566.18,2.7
"1708","3","3","271","","22","H","3628",31,0.39,59,0.66,445,2.52,444.34,1.86
"1710","3","3","216","","20","H","3626",25,0.45,42,0.61,585,3.25,584.39,2.64
"1711","3","3","216","","19","H","3625",35,0.49,47,0.7,1049,6.89,1048.3,6.19
"1712","3","3","42E","","18","H","3624",16,0.22,31,0.48,1042,6.44,1041.52,5.96
"1713","3","3","8L","","17","H","3623",27,0.23,30,0.43,931,6.06,930.57,5.63
"1714","3","3","271","","16","H","3622",28,0.28,62,0.67,1039,7.45,1038.33,6.78
"1715","3","3","259","","15","H","3621",25,0.31,62,0.86,404,3.29,403.14,2.43
"1718","3","3","42E","","17","I","3638",39,0.37,86,0.78,1126,8.69,1125.22,7.91
"1719","3","3","42E","","18","I","3639",31,0.32,68,0.62,1188,8.4,1187.38,7.78
"1720","3","3","271","","19","I","3640",25,0.29,49,0.58,785,4.35,784.42,3.77
"1722","3","3","271","","21","I","3642",32,0.46,83,0.9,633,4.39,632.1,3.49
"1723","3","3","8L","","22","I","3643",46,0.49,78,0.78,1223,10.15,1222.22,9.37
"1724","3","3","216","","23","I","3644",22,0.37,22,0.41,392,1.95,391.59,1.54
"1725","3","3","216","","24","I","3645",17,0.39,84,0.95,720,5.29,719.05,4.34
"1727","3","3","216","","23","J","3659",43,0.43,42,0.74,403,2.4,402.26,1.66
"1728","3","3","8L","","22","J","3658",49,0.49,86,0.83,1348,12.2,1347.17,11.37
"1729","3","3","216","","21","J","3657",45,0.48,46,0.74,822,5.32,821.26,4.58
"1731","3","3","271","","19","J","3655",36,0.42,84,0.98,1056,8.26,1055.02,7.28
"1736","3","3","216","","15","K","3666",19,0.32,49,0.68,378,2.85,377.32,2.17
"1738","3","3","8L","","17","K","3668",47,0.43,48,0.53,1239,10.3,1238.47,9.77
"1743","3","3","271","","22","K","3673",28,0.39,76,0.85,953,5.85,952.15,5
"1744","3","3","271","","23","K","3674",47,0.44,107,0.89,944,5.95,943.11,5.06
"1747","3","3","271","","23","L","3689",41,0.49,69,0.74,972,6.05,971.26,5.31
"1748","3","3","271","","22","L","3688",39,0.37,90,0.83,1021,7,1020.17,6.17
"1753","3","3","8L","","17","L","3683",25,0.35,40,0.42,532,3.6,531.58,3.18
"1754","3","3","42E","","16","L","3682",32,0.33,61,0.61,1010,7.1,1009.39,6.49
"1756","3","3","8L","","15","M","3696",52,0.5,91,0.82,1019,11.45,1018.18,10.63
"1757","3","3","271","","16","M","3697",20,0.28,52,0.66,694,4.32,693.34,3.66
"1758","3","3","8L","","17","M","3698",35,0.4,69,0.72,1155,9.4,1154.28,8.68
"1760","3","3","216","","19","M","3700",38,0.57,51,0.75,576,3.52,575.25,2.77
"1761","3","3","8L","","20","M","3701",28,0.34,49,0.69,1196,10.88,1195.31,10.19
